ID,'Product using score','User area',gender,age,'Cumulative using time','Point balance','Product service usage','Pay a monthly fee by credit card','Active user',' Estimated salary','Purchase or not'
6518,628,?,Female,51,?,155903.82,2,1,1,71159.84,0
5195,696,Taipei,?,27,4,?,2,0,?,196111.35,0
1786,?,Taichung,Male,40,3,?,2,1,1,?,0
6151,?,?,Male,?,?,?,?,1,0,?,1
7577,?,Tainan,?,27,?,0,1,?,1,107955.67,0
9211,382,Tainan,?,?,0,0,1,1,1,?,1
9341,?,?,?,?,10,0,?,?,0,1364.54,0
8352,585,?,Female,30,?,0,2,1,1,?,0
3824,627,?,Male,31,?,128131.73,?,?,?,?,0
9871,?,Tainan,Male,40,1,?,1,1,1,?,0
991,?,?,Male,37,5,?,2,?,?,66214.13,0
5740,712,Taipei,Female,?,?,89571.59,1,1,1,177613.19,0
5120,?,?,?,37,3,77608.46,2,?,1,175373.46,0
8561,?,Taichung,Male,?,5,71097.23,1,1,1,130504.49,0
7418,730,Taichung,?,37,5,?,?,?,0,118591.67,0
5719,?,?,Female,37,7,0,?,1,0,?,0
102,?,Taipei,Female,44,6,0,2,0,0,?,0
1828,?,Tainan,?,22,7,?,2,?,1,136365,1
8058,?,Taichung,?,34,2,?,2,1,0,?,0
5738,682,?,?,35,2,?,2,?,1,16910.98,0
7100,?,Taipei,?,?,5,0,1,?,?,?,0
9232,648,?,?,38,10,82697.28,1,1,0,?,0
9280,727,Taipei,?,62,?,?,2,?,?,?,0
553,685,Tainan,Female,25,?,128509.63,?,1,?,121562.33,0
9326,635,Tainan,Female,?,?,0,?,?,?,?,0
5290,613,Tainan,Male,19,5,?,1,1,1,176903.35,0
7640,541,Taipei,?,?,6,0,?,1,1,83456.67,0
682,591,?,Male,?,5,?,?,0,1,137254.55,0
9008,726,Taipei,Male,31,9,0,2,1,1,106117.3,0
7414,850,Taichung,?,31,4,164672.66,1,?,1,61936.1,0
9265,414,?,?,?,3,?,2,1,1,?,0
5151,515,Taipei,?,37,0,196853.62,1,1,1,132770.11,0
7314,?,Taipei,Female,36,?,97157.96,1,0,?,?,0
9149,?,Taipei,?,37,8,0,?,0,?,145004.39,0
821,659,Taichung,Male,?,4,132578.92,2,1,0,84320.94,0
1726,631,?,Female,?,2,?,2,0,1,23146.62,0
3203,564,Taipei,Female,?,4,135946.26,?,1,?,63170,0
2131,704,Taipei,?,?,?,?,1,?,1,137739.45,0
5343,?,?,Male,?,1,171937.27,1,1,?,65636.92,0
5245,672,?,?,?,5,0,?,?,1,?,0
4587,?,Taipei,?,25,?,0,?,1,?,101274.17,0
6999,666,Tainan,Female,47,5,0,1,0,0,166650.9,1
8361,686,?,?,?,9,141918.09,2,?,1,184036.47,0
8702,673,Taipei,Male,?,2,?,1,1,1,?,0
3554,741,Tainan,Male,40,?,?,1,1,?,135163.76,1
5078,616,Taipei,?,34,?,0,2,1,0,25662.27,0
2228,633,Tainan,Male,58,6,?,1,?,1,132034.13,0
964,529,Tainan,?,63,4,96134.11,3,?,0,108732.96,1
1274,474,Taipei,Male,33,?,?,2,1,0,?,1
9630,497,Tainan,Male,?,2,121250.04,?,0,1,79691.4,0
4870,669,?,Male,?,4,149713.61,3,1,1,?,1
1363,?,Taichung,Male,41,10,113270.2,2,?,1,185387.14,0
408,?,Tainan,Female,37,4,0,?,1,0,125696.26,0
3862,780,?,Female,?,?,0,2,0,0,?,1
628,752,Taipei,Male,?,2,78653.84,1,?,0,7698.6,0
7096,753,?,Female,38,?,?,1,?,0,122021.33,1
5783,669,Tainan,Female,33,8,?,2,0,1,128538.05,0
2368,620,?,Male,39,9,?,1,?,0,?,1
4851,516,Taipei,Male,27,9,?,1,?,0,?,1
2276,550,Taipei,Female,48,6,0,2,?,?,191870.28,0
3124,642,?,Male,30,8,80964.57,?,1,0,174738.2,0
3379,?,?,Male,72,5,?,1,?,1,78695.68,0
4538,710,Tainan,?,?,5,0,2,?,0,9561.73,0
5980,677,Taipei,?,24,?,?,2,0,?,182913.95,0
1947,648,Taichung,Male,34,3,95039.73,2,1,1,?,0
5464,731,?,Female,36,6,?,1,0,0,152128.36,0
1997,?,Taipei,Male,62,2,0,?,?,0,?,1
5765,726,Taipei,Female,34,0,?,?,1,1,102036.82,0
9399,488,Taipei,Female,34,2,?,2,?,1,181270.84,0
4873,?,Tainan,Male,32,?,0,1,1,?,?,0
2128,?,Taichung,?,34,9,134260.36,2,1,?,147074.67,0
9359,837,Taipei,Female,?,9,0,2,1,?,41866.26,0
5206,756,Taipei,Male,28,8,179960.2,1,?,0,89938.08,0
790,704,?,Male,48,8,?,1,1,1,173498.45,0
902,643,Taipei,?,36,7,?,2,0,1,84294.82,0
1499,595,Taichung,?,?,7,106570.34,2,0,1,?,0
2143,?,Taipei,Male,35,6,112689.95,1,1,?,176962.31,0
3731,683,?,?,38,?,126152.84,?,0,0,15378.75,0
2562,?,?,Male,?,1,?,1,1,1,?,0
5295,509,?,?,?,9,?,1,?,1,21646.2,0
4522,?,Tainan,Female,27,?,124995.98,1,?,1,114669.79,0
5912,752,Taipei,?,33,4,0,2,?,?,?,0
7599,430,Taipei,Female,60,7,73937.02,1,1,0,?,1
1520,544,Taipei,?,64,3,124043.8,?,?,?,111402.97,1
3516,584,?,Female,37,8,0,2,0,1,100835.19,0
6140,652,?,Female,?,4,0,?,1,0,?,0
6769,?,Tainan,Male,?,6,0,2,?,0,113868.4,0
4117,571,Tainan,Female,31,3,0,?,1,1,194667.92,0
1881,589,?,Female,?,?,140355.56,2,?,?,136329.96,0
6493,?,?,Female,35,?,?,2,0,0,18254.75,0
3258,707,?,Female,?,?,102346.86,1,1,?,114672.64,0
261,732,Taichung,?,42,9,?,?,1,?,65323.11,0
8408,726,Taipei,Male,28,?,0,1,0,0,98060.51,0
1432,667,Taipei,?,48,2,?,?,1,0,43229.2,0
585,647,Taichung,Female,51,1,?,2,0,0,54954.51,1
1184,652,?,?,36,1,?,2,1,?,151314.98,0
3294,751,Taipei,Female,?,3,?,2,?,?,84175.34,0
1918,428,?,Female,40,3,129248.11,2,?,?,72876.43,1
8953,565,Taichung,Female,47,?,?,?,?,0,165849.49,1
4217,794,Taipei,Male,56,?,96951.21,1,?,?,71776.76,0
3311,?,?,?,50,3,0,?,1,0,?,0
9330,?,?,Male,35,5,0,?,1,1,62634.94,0
9753,?,Taipei,Male,21,8,?,2,1,1,155782.89,0
5420,740,Tainan,Female,?,4,?,1,1,1,85016.64,1
3848,611,?,Female,37,?,0,2,1,?,110782.88,0
479,569,Taipei,Male,38,?,0,1,1,1,108469.2,0
1761,?,Taipei,Male,?,5,?,1,0,1,136507.69,1
309,614,Taipei,Male,50,?,?,1,1,?,?,1
7587,828,Tainan,Male,42,?,0,1,1,?,186071.14,0
7246,702,Taichung,?,36,?,?,2,?,1,?,0
7519,500,Taichung,?,?,2,125495.64,2,?,1,68807.47,0
9382,765,?,Male,45,2,91549.78,1,1,1,?,0
5955,?,Taipei,Male,33,0,124781.67,1,?,1,33700.52,0
6331,744,?,Female,?,6,0,?,?,?,10662.58,0
7816,583,Taipei,Male,38,8,0,1,1,0,47848.56,0
1123,698,Taichung,Male,56,1,112414.81,2,0,0,93982.02,1
6843,?,?,Male,36,?,118311.76,1,?,0,146134.68,0
9783,509,?,Male,18,7,?,1,1,?,171770.58,0
9114,521,Taichung,Female,29,?,87212.8,1,1,?,?,0
8010,574,Taipei,?,34,?,?,1,?,0,?,0
1981,554,Taipei,Female,30,9,?,2,1,1,40320.3,0
7296,648,Taichung,Male,31,7,?,1,?,1,?,0
5090,688,?,?,45,9,103399.87,1,0,?,129870.93,0
3728,?,?,Female,?,7,186558.55,1,?,1,?,1
8821,?,Taichung,Male,?,9,150956.71,?,0,0,72350.17,0
2135,713,?,Male,44,1,63438.91,1,1,0,64375.4,0
2998,655,Taipei,Female,26,7,106198.5,1,0,1,32020.42,0
9504,?,Taipei,Female,48,?,119769.77,?,0,?,66032.65,0
7580,?,Taipei,Male,40,?,127847.86,1,0,0,173245.68,0
8624,430,Taichung,?,38,8,153058.64,1,?,?,99377.27,0
2524,?,Taipei,?,24,?,0,2,1,0,184182.25,0
4320,609,?,?,34,7,140694.78,2,?,0,46266.63,0
5047,793,Tainan,Male,25,3,100913.57,1,0,?,?,0
5547,786,Taipei,Male,32,9,?,2,1,?,133112.41,0
2303,723,Taipei,Female,?,4,0,?,0,?,89972.25,0
217,695,Taipei,Male,46,7,49512.55,1,?,0,?,0
